Yıl,Yaş,Kişi başına gayri safi yurt içi hasılat ($),CLASS
1997,2,435,3
1998,2,398,3
1999,2,291,3
2000,2,313,3
2001,3,345,3
2001,2,345,3
2002,2,359,3
2002,3,359,3
2003,2,424,3
2003,3,424,3
2004,2,484,3
2004,3,484,3
2005,3,533,3
2005,2,533,3
2006,3,610,3
2006,2,610,3
2007,2,814,3
2007,3,814,3
2008,2,1096,3
2008,3,1096,3
2009,2,977,3
2009,3,977,3
2010,3,991,3
2010,2,991,3
2011,3,1273,3
2012,3,1339,3
2013,3,1463,3
2014,3,1465,3
2015,3,1285,3
2000,2,2524,3
2001,2,3406,3
2001,3,3406,3
2002,2,3401,3
2002,3,3401,3
2003,2,3867,3
2003,3,3867,3
2004,2,4373,3
2004,3,4373,3
2005,2,4026,3
2005,3,4026,3
2007,2,6115,3
2007,3,6115,3
2008,2,7236,3
2008,3,7236,3
2010,2,7806,3
2010,3,7806,3
2011,3,8135,3
2009,3,18557,3
2009,2,18557,3
2010,2,21337,3
2010,3,21337,3
2014,3,22328,3
1992,2,958,3
1993,2,957,3
1997,2,1312,3
1998,2,1124,3
1999,2,1262,3
2000,2,1205,3
2001,3,1109,3
2001,2,1109,3
2002,3,1158,3
2002,2,1158,3
2003,3,1169,3
2003,2,1169,3
2006,3,1599,3
2006,2,1599,3
2007,3,1915,3
2007,2,1915,3
2008,3,2188,3
2008,2,2188,3
2009,3,2073,3
2009,2,2073,3
2010,3,2412,3
2010,2,2412,3
2011,3,2662,3
1995,2,17559,3
2001,2,32510,3
2001,3,32510,3
2004,2,45517,3
2004,3,45517,3
2005,2,55899,3
2005,3,55899,3
2006,3,64762,3
2006,2,64762,3
2007,2,71460,3
2007,3,71460,3
2008,2,87961,3
2008,3,87961,3
2009,2,64911,3
2009,3,64911,3
2010,2,74055,3
2010,3,74055,3
2011,3,90490,3
2012,3,93270,3
2013,3,93066,3
2014,3,91587,3
2015,3,69937,3
2016,3,62484,3
1989,1,3740,3
1990,1,3789,3
1991,2,3773,3
1992,2,3333,3
1993,2,3160,3
1994,2,2853,3
1995,2,2844,3
1996,2,2813,3
1997,2,2907,3
1998,2,1948,3
1999,2,1412,3
2000,2,1879,3
2001,2,2229,3
2001,3,2229,3
2002,2,2527,3
2002,3,2527,3
2003,3,3141,3
2003,2,3141,3
2004,3,4312,3
2004,2,4312,3
2005,3,5611,3
2005,2,5611,3
2006,3,7313,3
2006,2,7313,3
2007,3,9643,3
2007,2,9643,3
2008,3,12359,3
2008,2,12359,3
2009,3,9118,3
2009,2,9118,3
2010,3,11307,3
2010,2,11307,3
2011,3,15226,3
2012,3,16413,3
2013,3,17052,3
2014,3,15319,3
2015,3,9987,3
1985,1,8142,3
1986,1,7805,3
1987,1,8679,3
1988,1,10586,3
1989,1,12514,3
1990,1,14393,3
1991,2,17768,3
1992,2,20029,3
1993,2,22835,3
1994,2,27202,3
1995,2,31783,3
1996,2,34148,3
1997,2,34779,3
1998,2,29150,3
1999,2,28789,3
2000,2,31446,3
2001,3,28774,3
2001,2,28774,3
2002,3,29048,3
2002,2,29048,3
2003,3,30067,3
2003,2,30067,3
2004,3,34799,3
2004,2,34799,3
2005,3,38122,3
2005,2,38122,3
2006,3,43318,3
2006,2,43318,3
2007,3,53098,3
2007,2,53098,3
2008,3,55735,3
2008,2,55735,3
2009,3,54413,3
2009,2,54413,3
2010,3,66099,3
2010,2,66099,3
2011,3,76638,3
2012,3,80040,3
2013,3,83151,3
2014,3,84442,3
2015,3,81766,3
1985,1,431,3
1986,1,454,3
1996,2,834,3
1997,2,900,3
1998,2,935,3
1999,2,920,3
2000,2,953,3
2001,3,912,3
2001,2,912,3
2002,3,951,3
2002,2,951,3
2003,3,1077,3
2003,2,1077,3
2006,3,1580,3
2006,2,1580,3
1985,1,840,3
1986,1,911,3
1987,1,1045,3
1990,1,1666,3
1991,2,1891,3
1992,2,2120,3
1994,2,2784,3
1995,2,3114,3
1996,2,3324,3
1997,2,2689,3
1998,2,2005,3
1999,2,2203,3
2000,2,2169,3
2002,3,2305,3
2002,2,2305,3
2003,2,2531,3
2003,3,2531,3
2004,3,2849,3
2004,2,2849,3
2005,3,3094,3
2005,2,3094,3
2006,2,3598,3
2006,3,3598,3
2007,3,4461,3
2007,2,4461,3
2008,3,4921,3
2008,2,4921,3
2009,3,4736,3
2009,2,4736,3
2010,3,5707,3
2010,2,5707,3
2011,3,6153,3
2012,3,6584,3
2013,3,6917,3
2014,3,6662,3
2015,3,6552,3
2016,3,6713,3
2009,3,9773,3
2009,2,9773,3
2010,3,11525,3
2010,2,11525,3
2011,3,12237,3
2012,3,12671,3
2013,3,13603,3
2014,3,13170,3
2015,3,11961,3
1987,1,815,3
1988,1,1029,3
1989,1,1003,3
1990,1,1036,3
1991,2,1014,3
1992,2,984,3
1993,2,954,3
1994,2,748,3
1995,2,650,3
1996,2,608,3
1997,2,612,3
1998,2,636,3
1999,2,619,3
2000,2,721,3
2001,3,863,3
2001,2,863,3
2002,2,1077,3
2002,3,1077,3
2003,3,1431,3
2003,2,1431,3
2004,3,1624,3
2004,2,1624,3
2005,2,1906,3
2005,3,1906,3
2006,3,2397,3
2006,2,2397,3
2007,2,2916,3
2007,3,2916,3
2008,2,4368,3
2008,3,4368,3
2009,3,4508,3
2009,2,4508,3
2010,3,4962,3
2010,2,4962,3
2011,3,6319,3
2012,3,7498,3
2013,3,8255,3
2014,3,9046,3
2015,3,7326,3
2005,2,42196,3
2005,3,42196,3
2006,2,45110,3
2006,3,45110,3
2007,2,45285,3
2007,3,45285,3
2008,2,48457,3
2008,3,48457,3
2009,2,34960,3
2009,3,34960,3
2010,3,36964,3
2010,2,36964,3
1990,1,778,3
1991,2,788,3
1992,2,709,3
1993,2,708,3
1994,2,674,3
1995,2,681,3
1996,2,703,3
1997,2,724,3
1998,2,719,3
1999,2,801,3
2000,2,632,3
2001,2,513,3
2001,3,513,3
2002,3,428,3
2002,2,428,3
2003,2,441,3
2003,3,441,3
2004,2,516,3
2004,3,516,3
2005,2,606,3
2005,3,606,3
2009,2,1332,3
2009,3,1332,3
2010,2,1533,3
2010,3,1533,3
2011,3,1767,3
2012,3,1964,3
2013,3,2150,3
2014,3,2309,3
1990,1,756,4
1991,2,640,4
1992,2,385,4
1993,2,357,4
1994,2,387,4
1995,2,426,4
1996,2,458,4
1997,2,465,4
1998,2,532,4
1999,2,515,4
2000,2,530,4
2001,3,587,4
2001,2,587,4
2002,3,788,4
2002,2,788,4
2003,3,928,4
2003,2,928,4
2006,2,2310,4
2006,3,2310,4
2007,2,3366,4
2007,3,3366,4
2008,2,3829,4
2008,3,3829,4
2009,3,3215,4
2009,2,3215,4
2010,2,3460,4
2010,3,3460,4
2011,3,3798,4
2012,3,3773,4
2013,3,3957,4
2014,3,4142,4
2015,3,3775,4
2016,3,3788,4
1990,1,1439,4
1991,2,1398,4
1992,2,784,4
1993,2,617,4
1994,2,508,4
1995,2,462,4
1996,2,476,4
1997,2,590,4
1998,2,631,4
1999,2,645,4
2000,2,711,4
2001,3,759,4
2001,2,759,4
2002,2,820,4
2002,3,820,4
2003,3,948,4
2003,2,948,4
2004,3,1122,4
2004,2,1122,4
2007,3,4172,4
2007,2,4172,4
1985,1,9980,4
1987,1,9321,4
1988,1,9501,4
1997,2,11985,4
1998,2,11325,4
1999,2,11703,4
2000,2,15345,4
2001,2,14383,4
2001,3,14383,4
2002,2,14572,4
2002,3,14572,4
2003,2,15756,4
2003,3,15756,4
2004,2,17497,4
2004,3,17497,4
2005,2,19485,4
2005,3,19485,4
2006,2,20826,4
2006,3,20826,4
2007,2,22524,4
2007,3,22524,4
2008,2,25106,4
2008,3,25106,4
2009,2,20988,4
2009,3,20988,4
2010,2,22572,4
2010,3,22572,4
2011,3,26078,4
2012,3,25587,4
2013,3,26793,4
2014,3,27503,4
1990,1,1555,4
1991,2,1267,4
1992,2,740,4
1994,2,556,4
1995,2,611,4
1996,2,718,4
1997,2,828,4
1998,2,858,4
1999,2,669,4
2000,2,734,4
2001,3,777,4
2001,2,777,4
2004,3,1253,4
2004,2,1253,4
2005,3,1552,4
2005,2,1552,4
2006,3,1859,4
2006,2,1859,4
2007,3,2448,4
2007,2,2448,4
2009,3,2589,4
2009,2,2589,4
2010,3,2775,4
2010,2,2775,4
2011,3,3435,4
2012,3,3772,4
2013,3,3850,4
2014,3,4757,4
2015,3,4046,4
1985,1,7325,4
1986,1,8938,4
1987,1,10558,4
1988,1,12687,4
1989,1,12405,4
1990,1,14193,4
1991,2,15267,4
1992,2,16469,4
1993,2,16102,4
1994,2,17814,4
1995,2,20159,4
1996,2,21545,4
1997,2,21921,4
1998,2,21637,4
1999,2,21319,4
2000,2,23451,4
2001,3,22623,4
2001,2,22623,4
2002,3,20536,4
2002,2,20536,4
2003,3,21133,4
2003,2,21133,4
2004,3,22168,4
2004,2,22168,4
2005,3,22901,4
2005,2,22901,4
2006,3,24306,4
2006,2,24306,4
2007,3,27712,4
2007,2,27712,4
2008,3,32874,4
2008,2,32874,4
2009,2,30812,4
2009,3,30812,4
2010,3,34104,4
2010,2,34104,4
2011,3,37528,4
2012,3,36263,4
2013,3,40477,4
2014,3,41869,4
2015,3,39793,4
1985,1,12401,4
1986,1,18288,4
1987,1,22137,4
1988,1,26687,4
1989,1,26389,4
1990,1,26949,4
1991,2,30688,4
1992,2,33320,4
1993,2,37832,4
1994,2,41563,4
1995,2,46043,4
1996,2,40693,4
1997,2,37080,4
1998,2,33791,4
1999,2,38164,4
2000,2,40813,4
2001,3,35843,4
2001,2,35843,4
2002,3,34239,4
2002,2,34239,4
2003,3,36926,4
2003,2,36926,4
2004,3,39960,4
2004,2,39960,4
2005,3,39412,4
2005,2,39412,4
2006,3,37534,4
2006,2,37534,4
2007,3,37408,4
2007,2,37408,4
2008,3,41773,4
2008,2,41773,4
2009,3,43415,4
2009,2,43415,4
2010,3,47059,4
2010,2,47059,4
2011,3,50919,4
2012,3,51379,4
2013,3,42781,4
2014,3,40328,4
2015,3,36510,4
1990,1,1823,4
1991,2,1664,4
1992,2,1644,4
1993,2,1527,4
1994,2,1395,4
1995,2,1359,4
1996,2,1452,4
1997,2,1540,4
1998,2,1599,4
1999,2,1225,4
2000,2,1328,4
2001,3,1608,4
2001,2,1608,4
2002,3,1788,4
2002,2,1788,4
2003,3,2232,4
2003,2,2232,4
2004,3,3110,4
2004,2,3110,4
2005,3,4096,4
2005,2,4096,4
2006,3,5770,4
2006,2,5770,4
2007,3,7423,4
2007,2,7423,4
2008,3,9387,4
2008,2,9387,4
2009,3,8024,4
2009,2,8024,4
2010,3,10062,4
2010,2,10062,4
2011,3,12969,4
2012,3,13845,4
2013,3,15552,4
2014,3,14351,4
2015,3,11784,4
1985,1,14607,4
1986,1,11661,4
1987,1,13924,4
1993,2,18798,4
1994,2,17161,4
1995,2,17995,4
1996,2,20076,4
1997,2,18766,4
1998,2,14209,4
1999,2,15864,4
2000,2,19112,4
2001,2,17116,4
2001,3,17116,4
2002,2,17668,4
2002,3,17668,4
2003,2,24544,4
2003,3,24544,4
2004,2,29778,4
2004,3,29778,4
2005,2,39166,4
2005,3,39166,4
2006,2,46890,4
2006,3,46890,4
2007,2,37283,4
2007,3,37283,4
2008,2,43746,4
2008,3,43746,4
2009,2,33453,4
2009,3,33453,4
2010,2,35171,4
2010,3,35171,4
2011,3,46203,4
2012,3,49781,4
2013,3,48729,4
2014,3,43774,4
1990,1,715,4
1991,2,677,4
1992,2,603,4
1993,2,528,4
1994,2,437,4
1995,2,425,4
1996,2,459,4
1997,2,435,4
1998,2,398,4
1999,2,291,4
2000,2,313,4
2001,3,345,4
2001,2,345,4
2002,3,359,4
2002,2,359,4
2003,2,424,4
2003,3,424,4
2004,3,484,4
2004,2,484,4
2005,2,533,4
2005,3,533,4
2006,3,610,4
2006,2,610,4
2007,3,814,4
2007,2,814,4
2008,3,1096,4
2008,2,1096,4
2009,3,977,4
2009,2,977,4
2010,3,991,4
2010,2,991,4
2011,3,1273,4
2012,3,1339,4
2013,3,1463,4
2014,3,1465,4
2015,3,1285,4
2000,2,2524,4
2001,3,3406,4
2001,2,3406,4
2002,2,3401,4
2002,3,3401,4
2003,2,3867,4
2003,3,3867,4
2004,2,4373,4
2004,3,4373,4
2005,2,4026,4
2005,3,4026,4
2007,2,6115,4
2007,3,6115,4
2008,2,7236,4
2008,3,7236,4
2010,2,7806,4
2010,3,7806,4
2011,3,8135,4
2009,2,18557,4
2009,3,18557,4
2010,2,21337,4
2010,3,21337,4
2014,3,22328,4
1992,2,958,4
1993,2,957,4
1997,2,1312,4
1998,2,1124,4
1999,2,1262,4
2000,2,1205,4
2001,2,1109,4
2001,3,1109,4
2002,3,1158,4
2002,2,1158,4
2003,3,1169,4
2003,2,1169,4
2006,3,1599,4
2006,2,1599,4
2007,2,1915,4
2007,3,1915,4
2008,3,2188,4
2008,2,2188,4
2009,2,2073,4
2009,3,2073,4
2010,3,2412,4
2010,2,2412,4
2011,3,2662,4
1995,2,17559,4
2001,2,32510,4
2001,3,32510,4
2004,2,45517,4
2004,3,45517,4
2005,2,55899,4
2005,3,55899,4
2006,2,64762,4
2006,3,64762,4
2007,2,71460,4
2007,3,71460,4
2008,2,87961,4
2008,3,87961,4
2009,2,64911,4
2009,3,64911,4
2010,2,74055,4
2010,3,74055,4
2011,3,90490,4
2012,3,93270,4
2013,3,93066,4
2014,3,91587,4
2015,3,69937,4
2016,3,62484,4
1989,1,3740,4
1990,1,3789,4
1991,2,3773,4
1992,2,3333,4
1993,2,3160,4
1994,2,2853,4
1995,2,2844,4
1996,2,2813,4
1997,2,2907,4
1998,2,1948,4
1999,2,1412,4
2000,2,1879,4
2001,3,2229,4
2001,2,2229,4
2002,3,2527,4
2002,2,2527,4
2003,3,3141,4
2003,2,3141,4
2004,3,4312,4
2004,2,4312,4
2005,3,5611,4
2005,2,5611,4
2006,3,7313,4
2006,2,7313,4
2007,3,9643,4
2007,2,9643,4
2008,3,12359,4
2008,2,12359,4
2009,3,9118,4
2009,2,9118,4
2010,3,11307,4
2010,2,11307,4
2011,3,15226,4
2012,3,16413,4
2013,3,17052,4
2014,3,15319,4
2015,3,9987,4
1985,1,8142,4
1986,1,7805,4
1987,1,8679,4
1988,1,10586,4
1989,1,12514,4
1990,1,14393,4
1991,2,17768,4
1992,2,20029,4
1993,2,22835,4
1994,2,27202,4
1995,2,31783,4
1996,2,34148,4
1997,2,34779,4
1998,2,29150,4
1999,2,28789,4
2000,2,31446,4
2001,3,28774,4
2001,2,28774,4
2002,3,29048,4
2002,2,29048,4
2003,3,30067,4
2003,2,30067,4
2004,3,34799,4
2004,2,34799,4
2005,3,38122,4
2005,2,38122,4
2006,3,43318,4
2006,2,43318,4
2007,3,53098,4
2007,2,53098,4
2008,3,55735,4
2008,2,55735,4
2009,3,54413,4
2009,2,54413,4
2010,3,66099,4
2010,2,66099,4
2011,3,76638,4
2012,3,80040,4
2013,3,83151,4
2014,3,84442,4
2015,3,81766,4
1985,1,431,4
1986,1,454,4
1996,2,834,4
1997,2,900,4
1998,2,935,4
1999,2,920,4
2000,2,953,4
2001,3,912,4
2001,2,912,4
2002,3,951,4
2002,2,951,4
2003,3,1077,4
2003,2,1077,4
2006,3,1580,4
2006,2,1580,4
1985,1,840,4
1986,1,911,4
1987,1,1045,4
1990,1,1666,4
1991,2,1891,4
1992,2,2120,4
1994,2,2784,4
1995,2,3114,4
1996,2,3324,4
1997,2,2689,4
1998,2,2005,4
1999,2,2203,4
2000,2,2169,4
2002,3,2305,4
2002,2,2305,4
2003,3,2531,4
2003,2,2531,4
2004,3,2849,4
2004,2,2849,4
2005,2,3094,4
2005,3,3094,4
2006,2,3598,4
2006,3,3598,4
2007,3,4461,4
2007,2,4461,4
2008,3,4921,4
2008,2,4921,4
2009,2,4736,4
2009,3,4736,4
2010,3,5707,4
2010,2,5707,4
2011,3,6153,4
2012,3,6584,4
2013,3,6917,4
2014,3,6662,4
2015,3,6552,4
2016,3,6713,4
2009,3,9773,4
2009,2,9773,4
2010,3,11525,4
2010,2,11525,4
2011,3,12237,4
2012,3,12671,4
2013,3,13603,4
2014,3,13170,4
2015,3,11961,4
1987,1,815,4
1988,1,1029,4
1989,1,1003,4
1990,1,1036,4
1991,2,1014,4
1992,2,984,4
1993,2,954,4
1994,2,748,4
1995,2,650,4
1996,2,608,4
1997,2,612,4
1998,2,636,4
1999,2,619,4
2000,2,721,4
2001,2,863,4
2001,3,863,4
2002,2,1077,4
2002,3,1077,4
2003,3,1431,4
2003,2,1431,4
2004,3,1624,4
2004,2,1624,4
2005,2,1906,4
2005,3,1906,4
2006,3,2397,4
2006,2,2397,4
2007,3,2916,4
2007,2,2916,4
2008,3,4368,4
2008,2,4368,4
2009,2,4508,4
2009,3,4508,4
2010,2,4962,4
2010,3,4962,4
2011,3,6319,4
2012,3,7498,4
2013,3,8255,4
2014,3,9046,4
2015,3,7326,4
2005,2,42196,4
2005,3,42196,4
2006,2,45110,4
2006,3,45110,4
2007,2,45285,4
2007,3,45285,4
2008,2,48457,4
2008,3,48457,4
2009,2,34960,4
2009,3,34960,4
2010,2,36964,4
2010,3,36964,4
1990,1,778,4
1991,2,788,4
1992,2,709,4
1993,2,708,4
1994,2,674,4
1995,2,681,4
1996,2,703,4
1997,2,724,4
1998,2,719,4
1999,2,801,4
2000,2,632,4
2001,3,513,4
2001,2,513,4
2002,3,428,4
2002,2,428,4
2003,3,441,4
2003,2,441,4
2004,3,516,4
2004,2,516,4
2005,3,606,4
2005,2,606,4
2009,3,1332,4
2009,2,1332,4
2010,3,1533,4
2010,2,1533,4
2011,3,1767,4
2012,3,1964,4
2013,3,2150,4
2014,3,2309,4
1985,1,3264,5
1986,1,4072,5
1987,1,4026,5
1988,1,4458,5
1989,1,2670,5
1990,1,4859,5
1991,2,6404,5
1992,2,7615,5
1993,2,7768,5
1994,2,8328,5
1995,2,8232,5
1996,2,8563,5
1997,2,9057,5
1998,2,9126,5
1999,2,8546,5
2000,2,8462,5
2001,3,7900,5
2001,2,7900,5
2002,3,2840,5
2002,2,2840,5
2003,3,3668,5
2003,2,3668,5
2004,3,4683,5
2004,2,4683,5
2005,3,5590,5
2005,2,5590,5
2006,3,6475,5
2006,2,6475,5
2007,3,7918,5
2007,2,7918,5
2008,3,9843,5
2008,2,9843,5
2009,3,8961,5
2009,2,8961,5
2010,3,11273,5
2010,2,11273,5
2011,3,13946,5
2012,3,14203,5
2013,3,14206,5
2014,3,13400,5
2015,3,14981,5
1985,1,6137,5
1986,1,6720,5
1987,1,7333,5
1988,1,7763,5
1989,1,8541,5
1990,1,8537,5
1991,2,8469,5
1992,2,8129,5
1993,2,8540,5
1994,2,8953,5
1995,2,9378,5
2000,2,12430,5
2001,2,12348,5
2001,3,12348,5
2002,2,12511,5
2002,3,12511,5
2003,2,12887,5
2003,3,12887,5
2004,2,13786,5
2004,3,13786,5
2005,2,15230,5
2005,3,15230,5
2006,3,16531,5
2006,2,16531,5
2007,2,17528,5
2007,3,17528,5
2008,2,17760,5
2008,3,17760,5
2009,3,17007,5
2009,2,17007,5
2010,2,17034,5
2010,3,17034,5
2011,3,17708,5
2012,3,17620,5
2013,3,17395,5
1986,1,1552,5
1987,1,1920,5
1989,1,2372,5
1990,1,2614,5
1991,2,2742,5
1993,2,3278,5
1994,2,3399,5
1995,2,3436,5
1996,2,3545,5
1997,2,3487,5
1998,2,3531,5
1999,2,3615,5
2000,2,3960,5
2001,3,4013,5
2001,2,4013,5
2002,2,4161,5
2002,3,4161,5
2003,2,4289,5
2003,3,4289,5
2004,2,4449,5
2004,3,4449,5
2005,2,4547,5
2005,3,4547,5
2006,2,4815,5
2006,3,4815,5
2007,3,4951,5
2007,2,4951,5
2008,3,5098,5
2008,2,5098,5
2009,2,4841,5
2009,3,4841,5
2010,2,4923,5
2010,3,4923,5
2011,3,5098,5
2012,3,5264,5
2013,3,5272,5
2014,3,5448,5
2015,3,5561,5
1985,1,1898,5
1986,1,2257,5
1987,1,2394,5
1988,1,2628,5
1989,1,3310,5
1990,1,3516,5
1991,2,4490,5
1992,2,2924,5
1993,2,3136,5
1994,2,3925,5
1995,2,5313,5
1996,2,5771,5
1997,2,5891,5
1998,2,5663,5
1999,2,3864,5
2000,2,4156,5
2001,3,3492,5
2001,2,3492,5
2002,3,3121,5
2002,2,3121,5
2003,3,3376,5
2003,2,3376,5
2004,3,3984,5
2004,2,3984,5
2005,3,5230,5
2005,2,5230,5
2006,3,6403,5
2006,2,6403,5
2007,3,7970,5
2007,2,7970,5
2008,3,9555,5
2008,2,9555,5
2009,3,9283,5
2009,2,9283,5
2010,3,12161,5
2010,2,12161,5
2011,3,14245,5
2012,3,13283,5
2013,3,13191,5
2014,3,12975,5
2015,3,9431,5
1985,1,15522,5
1986,1,16062,5
1987,1,18124,5
1988,1,21069,5
1989,1,23188,5
1990,1,24041,5
1991,2,24038,5
1992,2,22393,5
1993,2,21421,5
1994,2,21219,5
1995,2,21871,5
1996,2,22686,5
1997,2,23245,5
1998,2,22268,5
1999,2,23572,5
2000,2,25589,5
2001,3,25165,5
2001,2,25165,5
2002,3,25570,5
2002,2,25570,5
2003,2,29787,5
2003,3,29787,5
2004,3,33787,5
2004,2,33787,5
2005,3,38218,5
2005,2,38218,5
2006,3,42566,5
2006,2,42566,5
2007,3,46890,5
2007,2,46890,5
2008,3,49041,5
2008,2,49041,5
2009,2,42933,5
2009,3,42933,5
2010,3,49974,5
2010,2,49974,5
2011,3,54841,5
2012,3,55347,5
2013,3,55310,5
1985,1,1658,5
1986,1,1728,5
1987,1,1985,5
1988,1,2303,5
1989,1,2599,5
1990,1,2828,5
1991,2,3187,5
1992,2,3791,5
1993,2,4006,5
1994,2,4551,5
1995,2,5695,5
1996,2,5946,5
1997,2,6368,5
1998,2,6023,5
1999,2,5470,5
2000,2,5584,5
2001,3,5020,5
2001,2,5020,5
2002,3,4866,5
2002,2,4866,5
2003,3,5208,5
2003,2,5208,5
2004,3,6744,5
2004,2,6744,5
2005,3,8256,5
2005,2,8256,5
2006,3,10270,5
2006,2,10270,5
2007,3,11387,5
2007,2,11387,5
2008,3,11653,5
2008,2,11653,5
2009,3,11062,5
2009,2,11062,5
2010,3,13874,5
2010,2,13874,5
2011,3,15854,5
2012,3,16617,5
2013,3,17140,5
2014,3,15883,5
2015,3,14729,5
1985,1,1393,5
1986,1,1366,5
1987,1,1299,5
1988,1,1369,5
1989,1,1350,5
1990,1,1346,5
1991,2,1348,5
1992,2,1664,5
1993,2,1845,5
1994,2,2646,5
1995,2,2796,5
1996,2,2883,5
1997,2,3106,5
1998,2,2814,5
1999,2,2419,5
2000,2,2755,5
2001,3,2662,5
2001,2,2662,5
2002,3,2613,5
2002,2,2613,5
2003,3,2489,5
2003,2,2489,5
2004,3,3033,5
2004,2,3033,5
2005,3,3742,5
2005,2,3742,5
2006,3,4095,5
2006,2,4095,5
2007,3,5150,5
2007,2,5150,5
2008,3,5971,5
2008,2,5971,5
2009,3,5643,5
2009,2,5643,5
2010,3,6836,5
2010,2,6836,5
2011,3,7885,5
2012,3,8586,5
2013,3,8731,5
2014,3,8591,5
2015,3,6552,5
1985,1,2145,5
1986,1,2389,5
1987,1,2433,5
1988,1,2460,5
1989,1,2686,5
1990,1,2817,5
1991,2,2651,5
1992,2,3070,5
1993,2,3342,5
1994,2,3562,5
1995,2,3672,5
1996,2,3639,5
1997,2,3827,5
1998,2,4046,5
1999,2,4115,5
2000,2,4233,5
2001,3,4412,5
2001,2,4412,5
2002,3,4485,5
2002,2,4485,5
2003,3,4583,5
2003,2,4583,5
2004,2,4850,5
2004,3,4850,5
2005,2,5133,5
2005,3,5133,5
2006,2,5716,5
2006,3,5716,5
2007,2,6661,5
2007,3,6661,5
2008,2,7517,5
2008,3,7517,5
2009,2,7403,5
2009,3,7403,5
2010,2,8906,5
2010,3,8906,5
2011,3,9978,5
2012,3,10832,5
2013,3,11443,5
2014,3,11485,5
1992,2,2227,5
1993,2,2236,5
1994,2,2820,5
1995,2,2993,5
1996,2,2443,5
1997,2,2472,5
1998,2,2497,5
1999,2,2741,5
2000,2,2940,5
2001,3,3037,5
2001,2,3037,5
2002,3,3205,5
2002,2,3205,5
2003,3,3409,5
2003,2,3409,5
2004,3,3611,5
2004,2,3611,5
2005,3,4017,5
2005,2,4017,5
2006,3,4951,5
2006,2,4951,5
2007,3,5488,5
2007,2,5488,5
2008,3,5686,5
2008,2,5686,5
2009,3,5797,5
2009,2,5797,5
2010,3,5997,5
2010,2,5997,5
2011,3,6419,5
2012,3,6791,5
2013,3,7148,5
2014,3,7459,5
2015,3,8044,5
1985,1,1485,5
1985,1,2238,5
1986,1,1943,5
1987,1,1669,5
1988,1,1519,5
1989,1,1619,5
1990,1,1732,5
1991,2,1869,5
1992,2,1955,5
1993,2,1996,5
1994,2,2335,5
1995,2,2453,5
1996,2,2474,5
1997,2,2701,5
1998,2,2626,5
1999,2,1805,5
2000,2,1650,5
2001,3,2160,5
2001,2,2160,5
2002,3,2472,5
2002,2,2472,5
2003,2,2755,5
2003,3,2755,5
2004,3,3051,5
2004,2,3051,5
2005,3,3397,5
2005,2,3397,5
2006,3,3759,5
2006,2,3759,5
2007,2,4024,5
2007,3,4024,5
2008,3,4787,5
2008,2,4787,5
