Yıl,Yaş,Kişi başına gayri safi yurt içi hasılat ($),CLASS
2009,2,4762,5
2009,3,4762,5
2010,2,5206,5
2010,3,5206,5
2011,3,5836,5
2012,3,6364,5
2013,3,6769,5
2014,3,7116,5
2015,3,6832,5
1990,1,1068,5
1991,2,1148,5
1992,2,1266,5
1993,2,1423,5
1995,2,1845,5
1996,2,1959,5
1997,2,2065,5
1998,2,2185,5
1999,2,2229,5
2000,2,2303,5
2001,3,2373,5
2001,2,2373,5
2002,3,2421,5
2002,2,2421,5
2003,2,2507,5
2003,3,2507,5
2004,2,2573,5
2004,3,2573,5
2005,2,2733,5
2005,3,2733,5
2006,3,2947,5
2006,2,2947,5
2007,3,3111,5
2007,2,3111,5
2008,3,3271,5
2008,2,3271,5
2009,3,3184,5
2009,2,3184,5
2010,2,3318,5
2010,3,3318,5
2011,3,3631,5
2012,3,3806,5
2013,3,3885,5
2014,3,3965,5
1985,1,1965,5
1988,1,2707,5
1989,1,3268,5
1990,1,3391,5
1991,2,3650,5
1992,2,3713,5
1993,2,3632,5
1994,2,3735,5
1995,2,3869,5
1996,2,4087,5
2001,2,5693,5
2001,3,5693,5
2002,2,5879,5
2002,3,5879,5
2003,2,6385,5
2003,3,6385,5
2004,2,6428,5
2004,3,6428,5
2005,3,7422,5
2005,2,7422,5
2006,2,7423,5
2006,3,7423,5
2007,2,8035,5
2007,3,8035,5
2008,2,8733,5
2008,3,8733,5
2009,2,8140,5
2009,3,8140,5
2010,2,8118,5
2010,3,8118,5
2011,3,8188,5
2012,3,8382,5
2013,3,8789,5
2014,3,9456,5
2015,3,10290,5
2016,3,10838,5
1986,1,1044,5
1987,1,997,5
1988,1,1074,5
1989,1,1122,5
1990,1,996,5
1991,2,1194,5
1992,2,1294,5
1993,2,1381,5
1994,2,1538,5
1995,2,1696,5
1996,2,1775,5
1997,2,1967,5
1998,2,2091,5
1999,2,1926,5
2000,2,1977,5
2001,3,1867,5
2001,2,1867,5
2002,2,2022,5
2002,3,2022,5
2003,3,2079,5
2003,2,2079,5
2004,2,2215,5
2004,3,2215,5
2005,3,2450,5
2005,2,2450,5
2006,3,2653,5
2006,2,2653,5
2007,3,2914,5
2007,2,2914,5
2008,2,3252,5
2008,3,3252,5
2009,3,3053,5
2009,2,3053,5
2010,2,3260,5
2010,3,3260,5
2011,3,3661,5
2012,3,3779,5
2013,3,3947,5
2014,3,4210,5
2015,3,4472,5
1988,1,632,5
1989,1,581,5
1990,1,607,5
1991,2,514,5
1992,2,561,5
1993,2,671,5
1994,2,819,5
1995,2,939,5
1996,2,1070,5
1997,2,1139,5
1998,2,1092,5
1999,2,1057,5
2001,2,1054,5
2001,3,1054,5
2002,2,1090,5
2002,3,1090,5
2003,2,1116,5
2003,3,1116,5
2004,3,1180,5
2004,2,1180,5
2005,2,1235,5
2005,3,1235,5
2006,2,2182,5
2006,3,2182,5
2007,3,2602,5
2007,2,2602,5
2008,3,2873,5
2008,2,2873,5
2009,2,3076,5
2009,3,3076,5
2010,3,3384,5
2010,2,3384,5
2011,3,3815,5
2012,3,4212,5
2013,3,4372,5
1985,1,1032,5
1986,1,1342,5
1987,1,1587,5
1988,1,1831,5
1989,1,2087,5
1990,1,2155,5
1991,2,1889,5
2000,2,3795,5
2001,2,3838,5
2001,3,3838,5
2002,2,4013,5
2002,3,4013,5
2003,2,3852,5
2003,3,3852,5
2004,2,4119,5
2004,3,4119,5
2005,2,4505,5
2005,3,4505,5
2006,2,4738,5
2006,3,4738,5
2009,3,4686,5
2009,2,4686,5
2010,2,5100,5
2010,3,5100,5
2011,3,5552,5
1985,1,2730,5
1986,1,1873,5
1987,1,2064,5
1988,1,2630,5
1989,1,3125,5
1990,1,3595,5
1991,2,4204,5
1992,2,4830,5
1993,2,6518,5
1994,2,6735,5
1995,2,4505,5
1996,2,4904,5
1997,2,5864,5
1998,2,6064,5
1999,2,6800,5
2000,2,7892,5
2001,3,8311,5
2001,2,8311,5
2002,3,8357,5
2002,2,8357,5
2003,3,7779,5
2003,2,7779,5
2004,3,8217,5
2004,2,8217,5
2005,3,9071,5
2005,2,9071,5
2006,3,9906,5
2006,2,9906,5
2007,3,10496,5
2007,2,10496,5
2008,3,10864,5
2008,2,10864,5
2009,3,8651,5
2009,2,8651,5
2010,3,9991,5
2010,2,9991,5
2011,3,10965,5
2012,3,10982,5
2013,3,11478,5
2014,3,11663,5
2015,3,10228,5
2016,3,4145,5
1985,1,3443,5
1986,1,3504,5
1987,1,3447,5
1988,1,2859,5
1989,1,2802,5
1996,2,3992,5
1997,2,4227,5
1998,2,4488,5
1999,2,4606,5
2000,2,4577,5
2001,3,4558,5
2001,2,4558,5
2002,2,4641,5
2002,3,4641,5
2003,3,4790,5
2003,2,4790,5
2004,3,5144,5
2004,2,5144,5
2005,2,5499,5
2005,3,5499,5
2006,3,5972,5
2006,2,5972,5
2007,3,6876,5
2007,2,6876,5
2008,2,7972,5
2008,3,7972,5
2009,2,8436,5
2009,3,8436,5
2010,3,8991,5
2010,2,8991,5
2011,3,10403,5
2012,3,11908,5
2013,3,13189,5
2014,3,14181,5
2015,3,15158,5
1985,1,964,5
1986,1,1086,5
1987,1,1158,5
1989,1,1330,5
1990,1,1600,5
1991,2,1907,5
1994,2,1981,5
1995,2,2223,5
1996,2,2341,5
1997,2,2326,5
1998,2,2057,5
1999,2,1868,5
2000,2,1782,5
2001,3,1630,5
2001,2,1630,5
2002,3,1315,5
2002,2,1315,5
2003,3,1339,5
2003,2,1339,5
2004,3,1598,5
2004,2,1598,5
2005,3,1704,5
2005,2,1704,5
2006,3,2038,5
2006,2,2038,5
2007,3,2599,5
2007,2,2599,5
2008,3,3438,5
2008,2,3438,5
2009,3,2920,5
2009,2,2920,5
2010,3,3619,5
2010,2,3619,5
2011,3,4474,5
2012,3,4319,5
2013,3,5006,5
2014,3,5254,5
1985,1,6582,5
1986,1,7002,5
1987,1,7533,5
1988,1,8155,5
1989,1,8576,5
1990,1,9552,5
1991,2,9974,5
1992,2,10533,5
1993,2,11146,5
1994,2,11871,5
1995,2,12636,5
1996,2,13328,5
1997,2,14037,5
1998,2,15610,5
1999,2,16560,5
2000,2,17569,5
2001,3,19649,5
2001,2,19649,5
2002,3,20325,5
2002,2,20325,5
2003,3,21264,5
2003,2,21264,5
2004,3,22874,5
2004,2,22874,5
2005,3,23944,5
2005,2,23944,5
2006,3,24943,5
2006,2,24943,5
2007,3,25625,5
2007,2,25625,5
2008,3,26840,5
2008,2,26840,5
2009,3,27661,5
2009,2,27661,5
2010,3,28267,5
2010,2,28267,5
2011,3,28876,5
2012,3,29247,5
2013,3,29510,5
2014,3,29515,5
2015,3,29728,5
1990,1,5339,5
1991,2,5368,5
1992,2,5868,5
1986,1,2634,5
1987,1,2875,5
1988,1,3244,5
1989,1,3505,5
1990,1,4015,5
1991,2,4194,5
1992,2,4564,5
1993,2,4568,5
1994,2,4704,5
1995,2,4947,5
1996,2,5031,5
1997,2,5053,5
1998,2,5407,5
1999,2,5590,5
2000,2,5557,5
2001,2,5195,5
2001,3,5195,5
2002,3,5155,5
2002,2,5155,5
2003,3,5599,5
2003,2,5599,5
2004,2,5989,5
2004,3,5989,5
2005,2,6292,5
2005,3,6292,5
2006,2,7391,5
2006,3,7391,5
2008,2,8122,5
2008,3,8122,5
2009,2,7902,5
2009,3,7902,5
2010,2,8557,5
2010,3,8557,5
2011,3,8826,5
2012,3,8764,5
2013,3,9041,5
2014,3,9372,5
1985,1,1622,5
1986,1,1771,5
1987,1,1908,5
1990,1,2553,5
1995,2,3293,5
1996,2,3450,5
1997,2,3613,5
1998,2,3874,5
1999,2,4041,5
2000,2,4087,5
2001,3,4418,5
2001,2,4418,5
2002,3,4723,5
2002,2,4723,5
2003,2,4902,5
2003,3,4902,5
2004,2,5286,5
2004,3,5286,5
2005,2,5556,5
2005,3,5556,5
2006,3,6142,5
2006,2,6142,5
2007,2,6539,5
2007,3,6539,5
2008,2,6966,5
2008,3,6966,5
2009,2,6754,5
2009,3,6754,5
2010,2,6809,5
2010,3,6809,5
2011,3,6759,5
2012,3,6918,5
2013,3,7183,5
2014,3,7203,5
2015,3,7496,5
1999,2,48255,5
2000,2,43435,5
2005,2,69301,5
2005,3,69301,5
1985,1,19693,5
1986,1,20588,5
1987,1,21631,5
1988,1,23103,5
1989,1,24654,5
1990,1,26004,5
1991,2,26503,5
1992,2,27760,5
1993,2,28891,5
1994,2,30375,5
1995,2,31518,5
1996,2,32928,5
1997,2,34644,5
1998,2,36164,5
1999,2,38072,5
2000,2,39218,5
2001,3,40018,5
2001,2,40018,5
2002,3,40845,5
2002,2,40845,5
2003,3,42468,5
2003,2,42468,5
2004,3,44867,5
2004,2,44867,5
2005,3,47423,5
2005,2,47423,5
2006,3,49666,5
2006,2,49666,5
2007,3,51585,5
2007,2,51585,5
2008,3,52128,5
2008,2,52128,5
2009,3,50563,5
2009,2,50563,5
2010,3,51989,5
2010,2,51989,5
2011,3,53452,5
2012,3,55170,5
2013,3,56520,5
2014,3,58531,5
2015,3,60387,5
1985,1,3264,6
1986,1,4072,6
1987,1,4026,6
1988,1,4458,6
1989,1,2670,6
1990,1,4859,6
1991,2,6404,6
1992,2,7615,6
1993,2,7768,6
1994,2,8328,6
1995,2,8232,6
1996,2,8563,6
1997,2,9057,6
1998,2,9126,6
1999,2,8546,6
2000,2,8462,6
2001,3,7900,6
2001,2,7900,6
2002,2,2840,6
2002,3,2840,6
2003,3,3668,6
2003,2,3668,6
2004,2,4683,6
2004,3,4683,6
2005,2,5590,6
2005,3,5590,6
2006,2,6475,6
2006,3,6475,6
2007,2,7918,6
2007,3,7918,6
2008,2,9843,6
2008,3,9843,6
2009,2,8961,6
2009,3,8961,6
2010,2,11273,6
2010,3,11273,6
2011,3,13946,6
2012,3,14203,6
2013,3,14206,6
2014,3,13400,6
2015,3,14981,6
1985,1,6137,6
1986,1,6720,6
1987,1,7333,6
1988,1,7763,6
1989,1,8541,6
1990,1,8537,6
1991,2,8469,6
1992,2,8129,6
1993,2,8540,6
1994,2,8953,6
1995,2,9378,6
2000,2,12430,6
2001,2,12348,6
2001,3,12348,6
2002,2,12511,6
2002,3,12511,6
2003,2,12887,6
2003,3,12887,6
2004,2,13786,6
2004,3,13786,6
2005,2,15230,6
2005,3,15230,6
2006,2,16531,6
2006,3,16531,6
2007,2,17528,6
2007,3,17528,6
2008,2,17760,6
2008,3,17760,6
2009,2,17007,6
2009,3,17007,6
2010,2,17034,6
2010,3,17034,6
2011,3,17708,6
2012,3,17620,6
2013,3,17395,6
1986,1,1552,6
1987,1,1920,6
1989,1,2372,6
1990,1,2614,6
1991,2,2742,6
1993,2,3278,6
1994,2,3399,6
1995,2,3436,6
1996,2,3545,6
1997,2,3487,6
1998,2,3531,6
1999,2,3615,6
2000,2,3960,6
2001,2,4013,6
2001,3,4013,6
2002,2,4161,6
2002,3,4161,6
2003,2,4289,6
2003,3,4289,6
2004,2,4449,6
2004,3,4449,6
2005,2,4547,6
2005,3,4547,6
2006,2,4815,6
2006,3,4815,6
2007,2,4951,6
2007,3,4951,6
2008,2,5098,6
2008,3,5098,6
2009,2,4841,6
2009,3,4841,6
2010,2,4923,6
2010,3,4923,6
2011,3,5098,6
2012,3,5264,6
2013,3,5272,6
2014,3,5448,6
2015,3,5561,6
1985,1,1898,6
1986,1,2257,6
1987,1,2394,6
1988,1,2628,6
1989,1,3310,6
1990,1,3516,6
1991,2,4490,6
1992,2,2924,6
1993,2,3136,6
1994,2,3925,6
1995,2,5313,6
1996,2,5771,6
1997,2,5891,6
1998,2,5663,6
1999,2,3864,6
2000,2,4156,6
2001,2,3492,6
2001,3,3492,6
2002,3,3121,6
2002,2,3121,6
2003,3,3376,6
2003,2,3376,6
2004,2,3984,6
2004,3,3984,6
2005,2,5230,6
2005,3,5230,6
2006,2,6403,6
2006,3,6403,6
2007,2,7970,6
2007,3,7970,6
2008,2,9555,6
2008,3,9555,6
2009,2,9283,6
2009,3,9283,6
2010,2,12161,6
2010,3,12161,6
2011,3,14245,6
2012,3,13283,6
2013,3,13191,6
2014,3,12975,6
2015,3,9431,6
1985,1,15522,6
1986,1,16062,6
1987,1,18124,6
1988,1,21069,6
1989,1,23188,6
1990,1,24041,6
1991,2,24038,6
1992,2,22393,6
1993,2,21421,6
1994,2,21219,6
1995,2,21871,6
1996,2,22686,6
1997,2,23245,6
1998,2,22268,6
1999,2,23572,6
2000,2,25589,6
2001,2,25165,6
2001,3,25165,6
2002,2,25570,6
2002,3,25570,6
2003,2,29787,6
2003,3,29787,6
2004,2,33787,6
2004,3,33787,6
2005,2,38218,6
2005,3,38218,6
2006,2,42566,6
2006,3,42566,6
2007,2,46890,6
2007,3,46890,6
2008,2,49041,6
2008,3,49041,6
2009,2,42933,6
2009,3,42933,6
2010,2,49974,6
2010,3,49974,6
2011,3,54841,6
2012,3,55347,6
2013,3,55310,6
1985,1,1658,6
1986,1,1728,6
1987,1,1985,6
1988,1,2303,6
1989,1,2599,6
1990,1,2828,6
1991,2,3187,6
1992,2,3791,6
1993,2,4006,6
1994,2,4551,6
1995,2,5695,6
1996,2,5946,6
1997,2,6368,6
1998,2,6023,6
1999,2,5470,6
2000,2,5584,6
2001,3,5020,6
2001,2,5020,6
2002,3,4866,6
2002,2,4866,6
2003,3,5208,6
2003,2,5208,6
2004,3,6744,6
2004,2,6744,6
2005,2,8256,6
2005,3,8256,6
2006,2,10270,6
2006,3,10270,6
2007,2,11387,6
2007,3,11387,6
2008,2,11653,6
2008,3,11653,6
2009,2,11062,6
2009,3,11062,6
2010,2,13874,6
2010,3,13874,6
2011,3,15854,6
2012,3,16617,6
2013,3,17140,6
2014,3,15883,6
2015,3,14729,6
1985,1,1393,6
1986,1,1366,6
1987,1,1299,6
1988,1,1369,6
1989,1,1350,6
1990,1,1346,6
1991,2,1348,6
1992,2,1664,6
1993,2,1845,6
1994,2,2646,6
1995,2,2796,6
1996,2,2883,6
1997,2,3106,6
1998,2,2814,6
1999,2,2419,6
2000,2,2755,6
2001,2,2662,6
2001,3,2662,6
2002,2,2613,6
2002,3,2613,6
2003,2,2489,6
2003,3,2489,6
2004,3,3033,6
2004,2,3033,6
2005,2,3742,6
2005,3,3742,6
2006,2,4095,6
2006,3,4095,6
2007,2,5150,6
2007,3,5150,6
2008,2,5971,6
2008,3,5971,6
2009,2,5643,6
2009,3,5643,6
2010,3,6836,6
2010,2,6836,6
2011,3,7885,6
2012,3,8586,6
2013,3,8731,6
2014,3,8591,6
2015,3,6552,6
1985,1,2145,6
1986,1,2389,6
1987,1,2433,6
1988,1,2460,6
1989,1,2686,6
1990,1,2817,6
1991,2,2651,6
1992,2,3070,6
1993,2,3342,6
1994,2,3562,6
1995,2,3672,6
1996,2,3639,6
1997,2,3827,6
1998,2,4046,6
1999,2,4115,6
2000,2,4233,6
2001,3,4412,6
2001,2,4412,6
2002,2,4485,6
2002,3,4485,6
2003,2,4583,6
2003,3,4583,6
2004,2,4850,6
2004,3,4850,6
2005,2,5133,6
2005,3,5133,6
2006,3,5716,6
2006,2,5716,6
2007,2,6661,6
2007,3,6661,6
2008,3,7517,6
2008,2,7517,6
2009,2,7403,6
2009,3,7403,6
2010,2,8906,6
2010,3,8906,6
2011,3,9978,6
2012,3,10832,6
2013,3,11443,6
2014,3,11485,6
1992,2,2227,6
1993,2,2236,6
1994,2,2820,6
1995,2,2993,6
1996,2,2443,6
1997,2,2472,6
1998,2,2497,6
1999,2,2741,6
2000,2,2940,6
2001,2,3037,6
2001,3,3037,6
2002,3,3205,6
2002,2,3205,6
2003,3,3409,6
2003,2,3409,6
2004,2,3611,6
2004,3,3611,6
2005,3,4017,6
2005,2,4017,6
2006,3,4951,6
2006,2,4951,6
2007,3,5488,6
2007,2,5488,6
2008,2,5686,6
2008,3,5686,6
2009,3,5797,6
2009,2,5797,6
2010,2,5997,6
2010,3,5997,6
2011,3,6419,6
2012,3,6791,6
2013,3,7148,6
2014,3,7459,6
2015,3,8044,6
1985,1,1485,6
1985,1,2238,6
1986,1,1943,6
1987,1,1669,6
1988,1,1519,6
1989,1,1619,6
1990,1,1732,6
1991,2,1869,6
1992,2,1955,6
1993,2,1996,6
1994,2,2335,6
1995,2,2453,6
1996,2,2474,6
1997,2,2701,6
1998,2,2626,6
1999,2,1805,6
2000,2,1650,6
2001,2,2160,6
2001,3,2160,6
2002,2,2472,6
2002,3,2472,6
2003,3,2755,6
2003,2,2755,6
2004,3,3051,6
2004,2,3051,6
2005,2,3397,6
2005,3,3397,6
2006,2,3759,6
2006,3,3759,6
2007,2,4024,6
2007,3,4024,6
2008,2,4787,6
2008,3,4787,6
2009,3,4762,6
2009,2,4762,6
2010,3,5206,6
2010,2,5206,6
2011,3,5836,6
2012,3,6364,6
2013,3,6769,6
2014,3,7116,6
2015,3,6832,6
1990,1,1068,6
1991,2,1148,6
1992,2,1266,6
1993,2,1423,6
1995,2,1845,6
1996,2,1959,6
1997,2,2065,6
1998,2,2185,6
1999,2,2229,6
2000,2,2303,6
2001,3,2373,6
2001,2,2373,6
2002,2,2421,6
2002,3,2421,6
2003,2,2507,6
2003,3,2507,6
2004,3,2573,6
2004,2,2573,6
2005,3,2733,6
2005,2,2733,6
2006,2,2947,6
2006,3,2947,6
2007,3,3111,6
2007,2,3111,6
2008,3,3271,6
2008,2,3271,6
2009,3,3184,6
2009,2,3184,6
2010,3,3318,6
2010,2,3318,6
2011,3,3631,6
2012,3,3806,6
2013,3,3885,6
2014,3,3965,6
1985,1,1965,6
1988,1,2707,6
1989,1,3268,6
1990,1,3391,6
1991,2,3650,6
1992,2,3713,6
1993,2,3632,6
1994,2,3735,6
1995,2,3869,6
1996,2,4087,6
2001,2,5693,6
2001,3,5693,6
2002,2,5879,6
2002,3,5879,6
2003,2,6385,6
2003,3,6385,6
2004,2,6428,6
2004,3,6428,6
2005,2,7422,6
2005,3,7422,6
2006,2,7423,6
2006,3,7423,6
2007,2,8035,6
2007,3,8035,6
2008,2,8733,6
2008,3,8733,6
2009,2,8140,6
2009,3,8140,6
2010,2,8118,6
2010,3,8118,6
2011,3,8188,6
2012,3,8382,6
2013,3,8789,6
2014,3,9456,6
2015,3,10290,6
2016,3,10838,6
1986,1,1044,6
1987,1,997,6
1988,1,1074,6
1989,1,1122,6
1990,1,996,6
1991,2,1194,6
1992,2,1294,6
1993,2,1381,6
1994,2,1538,6
1995,2,1696,6
1996,2,1775,6
1997,2,1967,6
1998,2,2091,6
1999,2,1926,6
2000,2,1977,6
2001,2,1867,6
2001,3,1867,6
2002,3,2022,6
2002,2,2022,6
2003,2,2079,6
2003,3,2079,6
2004,2,2215,6
2004,3,2215,6
2005,2,2450,6
2005,3,2450,6
2006,3,2653,6
2006,2,2653,6
2007,3,2914,6
2007,2,2914,6
2008,2,3252,6
2008,3,3252,6
2009,2,3053,6
2009,3,3053,6
2010,2,3260,6
2010,3,3260,6
2011,3,3661,6
2012,3,3779,6
2013,3,3947,6
2014,3,4210,6
2015,3,4472,6
1988,1,632,6
1989,1,581,6
1990,1,607,6
1991,2,514,6
1992,2,561,6
1993,2,671,6
1994,2,819,6
1995,2,939,6
1996,2,1070,6
1997,2,1139,6
1998,2,1092,6
1999,2,1057,6
2001,2,1054,6
2001,3,1054,6
2002,2,1090,6
2002,3,1090,6
2003,3,1116,6
2003,2,1116,6
2004,3,1180,6
2004,2,1180,6
2005,2,1235,6
2005,3,1235,6
2006,2,2182,6
2006,3,2182,6
2007,3,2602,6
2007,2,2602,6
2008,2,2873,6
2008,3,2873,6
2009,3,3076,6
2009,2,3076,6
2010,2,3384,6
2010,3,3384,6
2011,3,3815,6
2012,3,4212,6
2013,3,4372,6
1985,1,1032,6
1986,1,1342,6
1987,1,1587,6
1988,1,1831,6
1989,1,2087,6
1990,1,2155,6
1991,2,1889,6
2000,2,3795,6
2001,2,3838,6
2001,3,3838,6
2002,2,4013,6
2002,3,4013,6
2003,2,3852,6
2003,3,3852,6
2004,2,4119,6
2004,3,4119,6
2005,2,4505,6
2005,3,4505,6
2006,2,4738,6
2006,3,4738,6
2009,2,4686,6
2009,3,4686,6
2010,2,5100,6
2010,3,5100,6
2011,3,5552,6
1985,1,2730,6
1986,1,1873,6
1987,1,2064,6
1988,1,2630,6
1989,1,3125,6
1990,1,3595,6
1991,2,4204,6
1992,2,4830,6
1993,2,6518,6
1994,2,6735,6
1995,2,4505,6
1996,2,4904,6
1997,2,5864,6
1998,2,6064,6
1999,2,6800,6
2000,2,7892,6
2001,2,8311,6
2001,3,8311,6
2002,2,8357,6
2002,3,8357,6
2003,2,7779,6
2003,3,7779,6
2004,2,8217,6
2004,3,8217,6
2005,2,9071,6
2005,3,9071,6
2006,2,9906,6
2006,3,9906,6
2007,2,10496,6
2007,3,10496,6
2008,2,10864,6
2008,3,10864,6
2009,2,8651,6
2009,3,8651,6
2010,2,9991,6
2010,3,9991,6
2011,3,10965,6
2012,3,10982,6
2013,3,11478,6
2014,3,11663,6
2015,3,10228,6
2016,3,4145,6
1985,1,3443,6
1986,1,3504,6
1987,1,3447,6
1988,1,2859,6
1989,1,2802,6
1996,2,3992,6
1997,2,4227,6
1998,2,4488,6
1999,2,4606,6
2000,2,4577,6
2001,2,4558,6
2001,3,4558,6
2002,3,4641,6
2002,2,4641,6
2003,2,4790,6
2003,3,4790,6
2004,2,5144,6
2004,3,5144,6
2005,2,5499,6
2005,3,5499,6
2006,2,5972,6
2006,3,5972,6
2007,2,6876,6
2007,3,6876,6
2008,3,7972,6
2008,2,7972,6
2009,2,8436,6
2009,3,8436,6
2010,3,8991,6
2010,2,8991,6
2011,3,10403,6
2012,3,11908,6
2013,3,13189,6
2014,3,14181,6
2015,3,15158,6
1985,1,964,6
1986,1,1086,6
1987,1,1158,6
1989,1,1330,6
1990,1,1600,6
1991,2,1907,6
1994,2,1981,6
1995,2,2223,6
1996,2,2341,6
1997,2,2326,6
1998,2,2057,6
1999,2,1868,6
2000,2,1782,6
2001,3,1630,6
2001,2,1630,6
2002,2,1315,6
2002,3,1315,6
2003,2,1339,6
2003,3,1339,6
2004,2,1598,6
2004,3,1598,6
2005,2,1704,6
2005,3,1704,6
2006,2,2038,6
2006,3,2038,6
2007,2,2599,6
2007,3,2599,6
2008,2,3438,6
2008,3,3438,6
2009,2,2920,6
2009,3,2920,6
2010,3,3619,6
2010,2,3619,6
2011,3,4474,6
2012,3,4319,6
2013,3,5006,6
2014,3,5254,6
1985,1,6582,6
1986,1,7002,6
1987,1,7533,6
1988,1,8155,6
1989,1,8576,6
1990,1,9552,6
1991,2,9974,6
1992,2,10533,6
1993,2,11146,6
1994,2,11871,6
1995,2,12636,6
1996,2,13328,6
1997,2,14037,6
1998,2,15610,6
1999,2,16560,6
2000,2,17569,6
2001,3,19649,6
2001,2,19649,6
2002,2,20325,6
2002,3,20325,6
2003,2,21264,6
2003,3,21264,6
2004,2,22874,6
2004,3,22874,6
2005,2,23944,6
2005,3,23944,6
2006,2,24943,6
2006,3,24943,6
2007,2,25625,6
2007,3,25625,6
2008,2,26840,6
2008,3,26840,6
2009,2,27661,6
2009,3,27661,6
2010,2,28267,6
2010,3,28267,6
2011,3,28876,6
2012,3,29247,6
2013,3,29510,6
2014,3,29515,6
2015,3,29728,6
1990,1,5339,6
1991,2,5368,6
1992,2,5868,6
1986,1,2634,6
1987,1,2875,6
1988,1,3244,6
1989,1,3505,6
1990,1,4015,6
1991,2,4194,6
1992,2,4564,6
1993,2,4568,6
1994,2,4704,6
1995,2,4947,6
1996,2,5031,6
1997,2,5053,6
1998,2,5407,6
1999,2,5590,6
2000,2,5557,6
2001,2,5195,6
2001,3,5195,6
2002,3,5155,6
2002,2,5155,6
2003,3,5599,6
2003,2,5599,6
2004,2,5989,6
2004,3,5989,6
2005,2,6292,6
2005,3,6292,6
2006,2,7391,6
2006,3,7391,6
2008,2,8122,6
2008,3,8122,6
2009,2,7902,6
2009,3,7902,6
2010,2,8557,6
2010,3,8557,6
2011,3,8826,6
2012,3,8764,6
2013,3,9041,6
2014,3,9372,6
1985,1,1622,6
1986,1,1771,6
1987,1,1908,6
1990,1,2553,6
1995,2,3293,6
1996,2,3450,6
1997,2,3613,6
1998,2,3874,6
1999,2,4041,6
2000,2,4087,6
2001,2,4418,6
2001,3,4418,6
2002,2,4723,6
2002,3,4723,6
2003,2,4902,6
2003,3,4902,6
2004,2,5286,6
2004,3,5286,6
2005,2,5556,6
2005,3,5556,6
2006,2,6142,6
2006,3,6142,6
2007,2,6539,6
2007,3,6539,6
2008,2,6966,6
2008,3,6966,6
2009,2,6754,6
2009,3,6754,6
2010,2,6809,6
2010,3,6809,6
2011,3,6759,6
2012,3,6918,6
2013,3,7183,6
2014,3,7203,6
2015,3,7496,6
1999,2,48255,6
2000,2,43435,6
2005,2,69301,6
2005,3,69301,6
1985,1,19693,6
1986,1,20588,6
1987,1,21631,6
1988,1,23103,6
1989,1,24654,6
1990,1,26004,6
1991,2,26503,6
1992,2,27760,6
1993,2,28891,6
1994,2,30375,6
1995,2,31518,6
1996,2,32928,6
1997,2,34644,6
1998,2,36164,6
1999,2,38072,6
2000,2,39218,6
2001,2,40018,6
2001,3,40018,6
2002,2,40845,6
2002,3,40845,6
2003,2,42468,6
2003,3,42468,6
2004,2,44867,6
2004,3,44867,6
2005,2,47423,6
2005,3,47423,6
2006,2,49666,6
2006,3,49666,6
2007,2,51585,6
2007,3,51585,6
2008,2,52128,6
2008,3,52128,6
2009,2,50563,6
2009,3,50563,6
2010,2,51989,6
2010,3,51989,6
2011,3,53452,6
2012,3,55170,6
2013,3,56520,6
2014,3,58531,6
2015,3,60387,6
